hs_code,description,mfn_rate,canada_preferential_rate,fta_name,uom,notes
01,LIVE ANIMALS,,,,
0101,Live horses,Free,Free,CETA,NMB,
0102,Live bovine animals,Free,Free,CETA,NMB,
0103,Live swine,Free,Free,CETA,NMB,
0104,Live sheep and goats,Free,Free,CETA,NMB,
0105,Live poultry,Free,Free,CETA,NMB,
0106,Other live animals,Free,Free,CETA,NMB,
02,MEAT AND EDIBLE MEAT OFFAL,,,,
0201,Beef fresh or chilled,"12.8% + €303.40/t",Free,CETA,KG,TRQ: 65000 MT/yr at 0% (fresh/frozen beef+bison combined); over-quota MFN applies
0202,Beef frozen,"12.8% + €303.40/t",Free,CETA,KG,TRQ: within 65000 MT quota at 0%
0203,Pork fresh chilled frozen,"12.8% + €46.70/t",Free,CETA,KG,TRQ: 80000 MT/yr at 0%
0204,Sheep and goat meat,"12.8% + €128.10/t",Free,CETA,KG,
0207,Poultry meat fresh frozen,"6.4% - 18.7%",Free,CETA,KG,TRQ: 16400 MT/yr at 0%
0210,Salted dried smoked meat,"12.8% + €77.80/t",Free,CETA,KG,
03,FISH AND SEAFOOD,,,,
0301,Live fish,Free,Free,CETA,NMB,
0302,Fresh or chilled fish,0-13%,Free,CETA,KG,Major Canadian export; lobster 0% MFN
0303,Frozen fish,0-13%,Free,CETA,KG,Salmon: 2% MFN → 0% CETA
0304,Fish fillets fresh chilled frozen,6.1%,Free,CETA,KG,
0305,Dried salted smoked fish,13%,Free,CETA,KG,
0306,Crustaceans lobster crab shrimp,Free-12%,Free,CETA,KG,Lobster 0% MFN; snow crab 0% MFN
0307,Molluscs oysters scallops mussels,8%,Free,CETA,KG,
04,DAIRY EGGS AND HONEY,,,,
0401,Milk and cream not concentrated,17.3%,Free,CETA,LT,TRQ applies; within-quota Free under CETA
0402,Milk concentrated or sweetened,"14.9% + €43.9/100 kg",Free,CETA,KG,TRQ: various dairy TRQs under CETA
0403,Buttermilk yogurt fermented milk,17.3%,Free,CETA,KG,TRQ
0405,Butter and dairy spreads,"18.7% + €231.80/t",Free,CETA,KG,TRQ: 3200 MT/yr at 0%
0406,Cheese and curd,17.3%-26.6%,Free,CETA,KG,TRQ: 16000 MT/yr at 0%; over-quota MFN
0407,Birds eggs in shell,13.6%,Free,CETA,NMB,TRQ: 15000 MT/yr at 0%
0409,Natural honey,17.3%,Free,CETA,KG,
05,OTHER ANIMAL PRODUCTS,,,,
0502,Pigs hog bristles,Free,Free,CETA,KG,
0511,Other animal products NES,Free,Free,CETA,KG,
06,LIVE TREES AND PLANTS,,,,
0601,Bulbs corms tubers,Free,Free,CETA,NMB,
0602,Other live plants shrubs trees,Free,Free,CETA,NMB,
0603,Cut flowers and flower buds,6.5%,Free,CETA,NMB,
07,EDIBLE VEGETABLES,,,,
0701,Potatoes fresh or chilled,Free,Free,CETA,KG,
0702,Tomatoes fresh or chilled,8.8%,Free,CETA,KG,
0703,Onions shallots garlic leeks,9.6%,Free,CETA,KG,Garlic: TRQ 2000 MT/yr at 0%
0704,Cabbages cauliflower brassicas,Free-10.1%,Free,CETA,KG,
0705,Lettuce and chicory,Free,Free,CETA,KG,
0707,Cucumbers and gherkins,12.5%,Free,CETA,KG,
0709,Other vegetables NES,Free-14.4%,Free,CETA,KG,
0710,Frozen vegetables,14.4%,Free,CETA,KG,Sweet corn TRQ: 6000 MT/yr at 0%
0712,Dried vegetables,Free-13.1%,Free,CETA,KG,
08,EDIBLE FRUIT AND NUTS,,,,
0801,Coconuts Brazil nuts cashews,Free-3.2%,Free,CETA,KG,
0802,Other nuts (almonds walnuts),Free-3.2%,Free,CETA,KG,
0806,Grapes fresh or dried,4.5-8%,Free,CETA,KG,
0807,Melons and watermelons,8.8%,Free,CETA,KG,
0808,Apples pears and quinces,Free-6%,Free,CETA,KG,
0810,Other fresh fruit strawberries,Free-11.2%,Free,CETA,KG,
0811,Frozen fruit and nuts,14.4%,Free,CETA,KG,
09,COFFEE TEA SPICES,,,,
0901,Coffee roasted or unroasted,Free,Free,CETA,KG,
0902,Tea,Free,Free,CETA,KG,
0904,Pepper and chilli,Free,Free,CETA,KG,
10,CEREALS,,,,
1001,Common wheat and meslin,€95/t,Free,CETA,KG,TRQ: 100000 MT/yr at 0%
1001,Durum wheat,€148/t,Free,CETA,KG,TRQ: 100000 MT/yr combined
1003,Barley,€93/t,Free,CETA,KG,TRQ: 15000 MT/yr at 0%
1004,Oats,89/t,Free,CETA,KG,
1005,Maize (corn),€63/t,Free,CETA,KG,TRQ: 400000 MT/yr at 0%
1008,Buckwheat millet canary seed,Free-€78/t,Free,CETA,KG,
11,MILLING PRODUCTS,,,,
1101,Wheat or meslin flour,€172/t,Free,CETA,KG,
1102,Cereal flour other,€78-94/t,Free,CETA,KG,
12,OIL SEEDS,,,,
1201,Soybeans,Free,Free,CETA,KG,
1204,Linseed/flaxseed,Free,Free,CETA,KG,
1205,Rapeseed/canola,Free,Free,CETA,KG,Major Canadian export
1207,Other oil seeds hemp mustard,Free,Free,CETA,KG,
13,LAC GUMS RESINS,,,,
1301,Lac natural gums resins,Free,Free,CETA,KG,
1302,Vegetable saps and extracts,Free,Free,CETA,KG,
15,ANIMAL AND VEGETABLE FATS,,,,
1501,Pig fat lard,Free,Free,CETA,KG,
1514,Rapeseed/canola/mustard oil,6.4%,Free,CETA,KG,Important Canadian export
1515,Other fixed vegetable oils,Free-9%,Free,CETA,KG,
1517,Margarine mixed fats,9%,Free,CETA,KG,
16,MEAT AND FISH PREPARATIONS,,,,
1601,Sausages and similar,"12.8% + €44.2/100 kg",Free,CETA,KG,
1602,Other prepared or preserved meat,12.8%-26.2%,Free,CETA,KG,
1604,Prepared or preserved fish,11-20%,Free,CETA,KG,
1605,Crustaceans molluscs prepared,5-20%,Free,CETA,KG,
17,SUGARS,,,,
1701,Cane or beet sugar,€419/t white; €335/t raw,Free,CETA,KG,Limited TRQ
1702,Other sugars and maple syrup,€419/t,Free,CETA,KG,Maple syrup: major Canadian export; 0% CETA
1704,Sugar confectionery no cocoa,"18%+€24.9/100 kg",Free,CETA,KG,
18,COCOA,,,,
1801,Cocoa beans,Free,Free,CETA,KG,
1804,Cocoa butter,7.7%,Free,CETA,KG,
1805,Cocoa powder,8%,Free,CETA,KG,
1806,Chocolate and cocoa preparations,8-30%,Free,CETA,KG,
19,CEREAL PREPARATIONS,,,,
1901,Malt extract food preparations,12.2-22.4%,Free,CETA,KG,
1902,Pasta noodles,Free-11.5%,Free,CETA,KG,
1905,Bread pastry cakes biscuits,Free-9%,Free,CETA,KG,
20,VEGETABLE AND FRUIT PREPARATIONS,,,,
2002,Tomatoes prepared or preserved,14.4%,Free,CETA,KG,
2004,Other vegetables prepared frozen,14.4%,Free,CETA,KG,
2007,Jams jellies marmalades,20.8%,Free,CETA,KG,
2009,Fruit juices unfermented,12-33%,Free,CETA,LT,
21,MISCELLANEOUS FOOD PREPARATIONS,,,,
2101,Extracts of coffee tea,9%,Free,CETA,KG,
2103,Sauces condiments mixed seasonings,Free-9.6%,Free,CETA,KG,
2106,Food preparations NES,Free-26%,Free,CETA,KG,
22,BEVERAGES,,,,
2201,Waters and mineral waters,Free,Free,CETA,LT,
2202,Non-alcoholic beverages,Free-9.6%,Free,CETA,LT,
2203,Beer made from malt,€0.736/hl/°Plato,Free,CETA,LT,
2204,Wine of fresh grapes,€13.1/hl ≤2°alc,Free,CETA,LT,Wine: 0% CETA for Canadian wine
2206,Other fermented beverages cider,€2.7-13.1/hl,Free,CETA,LT,
2207,Undenatured ethyl alcohol ≥80%,Free,Free,CETA,LT,
2208,Spirits and liqueurs,Free,Free,CETA,LT,Canadian whisky 0% CETA
2209,Vinegar,Free,Free,CETA,LT,
23,ANIMAL FEED RESIDUES,,,,
2301,Flours meals of meat or fish,Free,Free,CETA,KG,
2304,Soya-bean oil-cake,Free,Free,CETA,KG,
2306,Oil-cake of rapeseed/canola,Free,Free,CETA,KG,
2309,Preparations for animal feeding,Free,Free,CETA,KG,
24,TOBACCO,,,,
2401,Unmanufactured tobacco,€56.9/kg,Free,CETA,KG,
2402,Cigars cigarillos cigarettes,57.6%,Free,CETA,THD,
