hs_code,description,mfn_rate,canada_preferential_rate,fta_name,uom,notes
01,LIVE ANIMALS,,,,
0101,Live horses,Free,Free,Canada-UK TCA,NMB,
0102,Live bovine animals,Free,Free,Canada-UK TCA,NMB,
0103,Live swine,Free,Free,Canada-UK TCA,NMB,
0104,Live sheep and goats,Free,Free,Canada-UK TCA,NMB,
0105,Live poultry,Free,Free,Canada-UK TCA,NMB,
0106,Other live animals,Free,Free,Canada-UK TCA,NMB,
02,MEAT AND EDIBLE MEAT OFFAL,,,,
0201,Beef fresh or chilled,"12.8% + £2.45/kg",Free,Canada-UK TCA,KG,TRQ: 65000 MT/yr at 0% (carried over from CETA provisions)
0202,Beef frozen,"12.8% + £2.45/kg",Free,Canada-UK TCA,KG,TRQ: within quota at 0%
0203,Pork fresh chilled frozen,"12.8% + £0.38/kg",Free,Canada-UK TCA,KG,TRQ: 80000 MT/yr at 0%
0204,Sheep and goat meat,"12.8% + £1.03/kg",Free,Canada-UK TCA,KG,
0207,Poultry meat fresh frozen,6.4%-18.7%,Free,Canada-UK TCA,KG,TRQ applies
0210,Salted dried smoked meat,12.8%,Free,Canada-UK TCA,KG,
03,FISH AND SEAFOOD,,,,
0301,Live fish,Free,Free,Canada-UK TCA,NMB,
0302,Fresh or chilled fish,0-12%,Free,Canada-UK TCA,KG,Lobster: Free MFN and TCA
0303,Frozen fish,0-12%,Free,Canada-UK TCA,KG,Salmon 2% MFN → 0% TCA
0304,Fish fillets fresh chilled frozen,6.1%,Free,Canada-UK TCA,KG,
0305,Dried salted smoked fish,13%,Free,Canada-UK TCA,KG,
0306,Crustaceans lobster crab shrimp,Free-12%,Free,Canada-UK TCA,KG,Snow crab and lobster: 0% MFN
0307,Molluscs oysters scallops mussels,8%,Free,Canada-UK TCA,KG,
04,DAIRY EGGS AND HONEY,,,,
0401,Milk and cream not concentrated,17.3%,Free,Canada-UK TCA,LT,TRQ applies
0402,Milk concentrated or sweetened,14.9%,Free,Canada-UK TCA,KG,TRQ
0403,Buttermilk yogurt fermented milk,17.3%,Free,Canada-UK TCA,KG,TRQ
0405,Butter and dairy spreads,17.3%,Free,Canada-UK TCA,KG,TRQ: 3200 MT/yr at 0%
0406,Cheese and curd,17.3%-26.6%,Free,Canada-UK TCA,KG,TRQ: 16000 MT/yr at 0%
