hs_code,description,mfn_rate,canada_preferential_rate,fta_name,uom,notes
01,LIVE ANIMALS,,,,
0101,Live horses,Free,Free,USMCA,NMB,
0102,Live bovine animals,Free,Free,USMCA,NMB,TRQ may apply for certain categories
0103,Live swine,Free,Free,USMCA,NMB,
0104,Live sheep and goats,Free,Free,USMCA,NMB,
0105,Live poultry,0.9¢/kg,Free,USMCA,NMB,
0106,Other live animals,Free,Free,USMCA,NMB,
02,MEAT AND EDIBLE MEAT OFFAL,,,,
0201,Beef fresh/chilled,26.4¢/kg,Free,USMCA,KG,TRQ: 0% within quota; over-quota MFN applies
0202,Beef frozen,26.4¢/kg,Free,USMCA,KG,TRQ applies
0203,Pork fresh/chilled/frozen,1.4¢/kg,Free,USMCA,KG,
0204,Sheep and goat meat,Free,Free,USMCA,KG,
0205,Horsemeat,Free,Free,USMCA,KG,
0206,Edible offal of bovine,Free,Free,USMCA,KG,
0207,Poultry meat,17.6¢/kg,Free,USMCA,KG,TRQ applies
0210,Salted dried smoked meat,1.4¢/kg,Free,USMCA,KG,
03,FISH AND SEAFOOD,,,,
0301,Live fish,Free,Free,USMCA,NMB,
0302,Fresh or chilled fish,Free,Free,USMCA,KG,
0303,Frozen fish,Free,Free,USMCA,KG,
0304,Fish fillets and minced fish,Free,Free,USMCA,KG,
0305,Dried salted smoked fish,Free,Free,USMCA,KG,
0306,Crustaceans (lobster crab shrimp),Free,Free,USMCA,KG,Major Canadian export
0307,Molluscs (oysters scallops),Free,Free,USMCA,KG,
0308,Other aquatic invertebrates,Free,Free,USMCA,KG,
04,DAIRY EGGS AND HONEY,,,,
0401,Milk and cream not concentrated,3.2¢/litre,Free,USMCA,LT,Over-quota: 99.6¢/litre; USMCA TRQ for Canada
0402,Milk concentrated or sweetened,17.5%,Free,USMCA,KG,TRQ applies
0403,Buttermilk yogurt fermented milk,20%,Free,USMCA,KG,TRQ applies
0404,Whey and modified whey,3.5%,Free,USMCA,KG,TRQ applies
0405,Butter and dairy spreads,12.3¢/kg,Free,USMCA,KG,TRQ applies
0406,Cheese and curd,Free-20¢/kg,Free,USMCA,KG,TRQ applies; Canada has dedicated US cheese TRQ
0407,Birds eggs in shell,Free,Free,USMCA,DOZ,
0408,Eggs not in shell dried liquid,Free,Free,USMCA,KG,
0409,Natural honey,Free,Free,USMCA,KG,
05,OTHER ANIMAL PRODUCTS,,,,
0502,Pigs hog and boar bristles,Free,Free,USMCA,KG,
0504,Guts bladders and stomachs of animals,Free,Free,USMCA,KG,
0505,Bird skins and feathers,Free,Free,USMCA,KG,
0511,Other animal products NES,Free,Free,USMCA,KG,
06,LIVE TREES AND PLANTS,,,,
0601,Bulbs corms tubers,Free,Free,USMCA,NMB,
0602,Other live plants shrubs trees,Free,Free,USMCA,NMB,
0603,Cut flowers and flower buds,3.2%,Free,USMCA,NMB,
0604,Foliage branches,Free,Free,USMCA,KG,
07,EDIBLE VEGETABLES,,,,
0701,Potatoes fresh or chilled,Free,Free,USMCA,KG,
0702,Tomatoes fresh or chilled,2.8¢/kg,Free,USMCA,KG,
0703,Onions shallots garlic leeks,3.7¢/kg,Free,USMCA,KG,
0704,Cabbages cauliflower kohlrabi,Free,Free,USMCA,KG,
0705,Lettuce and chicory,Free,Free,USMCA,KG,
0706,Carrots turnips parsnips,Free,Free,USMCA,KG,
0707,Cucumbers and gherkins,Free,Free,USMCA,KG,
0708,Leguminous vegetables,Free,Free,USMCA,KG,
0709,Other vegetables NES,Free,Free,USMCA,KG,
0710,Frozen vegetables,Free,Free,USMCA,KG,
0712,Dried vegetables,Free,Free,USMCA,KG,
0714,Roots and tubers cassava sweet potato,Free,Free,USMCA,KG,
08,EDIBLE FRUIT AND NUTS,,,,
0801,Coconuts Brazil nuts cashews,Free,Free,USMCA,KG,
0802,Other nuts almonds walnuts,Free,Free,USMCA,KG,
0803,Bananas and plantains,Free,Free,USMCA,KG,
0805,Citrus fruit oranges lemons,2.5¢/kg,Free,USMCA,KG,
0806,Grapes fresh or dried,Free,Free,USMCA,KG,
0807,Melons and watermelons,Free,Free,USMCA,KG,
0808,Apples pears and quinces,Free,Free,USMCA,KG,
0809,Apricots cherries peaches plums,Free,Free,USMCA,KG,
0810,Other fresh fruit strawberries,Free,Free,USMCA,KG,
0811,Frozen fruit and nuts,Free,Free,USMCA,KG,
09,COFFEE TEA SPICES,,,,
0901,Coffee roasted or unroasted,Free,Free,USMCA,KG,
0902,Tea green or black,Free,Free,USMCA,KG,
0904,Pepper dried or ground,Free,Free,USMCA,KG,
0910,Ginger saffron turmeric,Free,Free,USMCA,KG,
10,CEREALS,,,,
1001,Wheat and meslin,2.8¢/bu,Free,USMCA,KG,Over-quota TRQ; Canada key wheat exporter
1002,Rye,Free,Free,USMCA,KG,
1003,Barley,Free,Free,USMCA,KG,
1004,Oats,Free,Free,USMCA,KG,Canada is major oat producer
1005,Maize (corn),Free,Free,USMCA,KG,
1007,Grain sorghum,Free,Free,USMCA,KG,
1008,Buckwheat millet canary seed,Free,Free,USMCA,KG,
11,MILLING PRODUCTS,,,,
1101,Wheat or meslin flour,3.8¢/kg,Free,USMCA,KG,
1102,Cereal flour non-wheat,Free,Free,USMCA,KG,
1104,Worked cereal grains flakes,Free,Free,USMCA,KG,
12,OIL SEEDS,,,,
1201,Soybeans,Free,Free,USMCA,KG,
1202,Groundnuts peanuts,9.35¢/kg,Free,USMCA,KG,
1204,Linseed/flaxseed,Free,Free,USMCA,KG,
1205,Rapeseed/canola,Free,Free,USMCA,KG,Canada is world top canola exporter
1206,Sunflower seeds,Free,Free,USMCA,KG,
1207,Other oil seeds hemp mustard,Free,Free,USMCA,KG,
1212,Locust beans seaweeds sugarbeet,Free,Free,USMCA,KG,
13,LAC GUMS RESINS,,,,
1301,Lac natural gums resins,Free,Free,USMCA,KG,
1302,Vegetable saps and extracts,Free,Free,USMCA,KG,
14,VEGETABLE PLAITING MATERIALS,,,,
1401,Bamboo rattan osier willow,Free,Free,USMCA,KG,
15,ANIMAL AND VEGETABLE FATS,,,,
1501,Pig fat lard,Free,Free,USMCA,KG,
1502,Fats of bovine sheep or goat,Free,Free,USMCA,KG,
1507,Soya-bean oil and its fractions,19.1%,Free,USMCA,KG,
1508,Ground-nut peanut oil,6.6%,Free,USMCA,KG,
1514,Rapeseed colza canola oil,6.4%,Free,USMCA,KG,Important Canadian export
1515,Other fixed vegetable fats,Free,Free,USMCA,KG,
1516,Animal or vegetable fats hydrogenated,Free,Free,USMCA,KG,
1517,Margarine mixed fats,Free,Free,USMCA,KG,
16,MEAT AND FISH PREPARATIONS,,,,
1601,Sausages and similar products,Free,Free,USMCA,KG,
1602,Other prepared or preserved meat,Free,Free,USMCA,KG,
1603,Extracts and juices of meat,Free,Free,USMCA,KG,
1604,Prepared or preserved fish,Free,Free,USMCA,KG,
1605,Crustaceans molluscs prepared,Free,Free,USMCA,KG,
17,SUGARS,,,,
1701,Cane or beet sugar,1.46¢/kg,Free,USMCA,KG,USMCA TRQ: high over-quota rate
1702,Other sugars maple syrup,Free,Free,USMCA,KG,Maple syrup: major Canadian export
1704,Sugar confectionery no cocoa,Free,Free,USMCA,KG,
18,COCOA,,,,
1801,Cocoa beans,Free,Free,USMCA,KG,
1804,Cocoa butter fat oil,Free,Free,USMCA,KG,
1805,Cocoa powder unsweetened,Free,Free,USMCA,KG,
1806,Chocolate and cocoa preparations,Free,Free,USMCA,KG,
19,CEREAL PREPARATIONS,,,,
1901,Malt extract food preparations,Free,Free,USMCA,KG,
1902,Pasta noodles,Free,Free,USMCA,KG,
1905,Bread pastry cakes biscuits,Free,Free,USMCA,KG,
20,VEGETABLE AND FRUIT PREPARATIONS,,,,
2001,Vegetables prepared with vinegar,Free,Free,USMCA,KG,
